date,ts,group,score,title,content
2024/7/13,1720821600,family,5.0,Grata sorpresa,"Hemos comido una familia de dos adultos con dos niños y la experiencia no ha podido ser mejor. Menú infantil con plato combinado muy abundante y bien de precio (no ha llegado a 11 euros). Comida elaborada y con un toque moderno. Todo lo que pedimos estaba muy rico. Raciones grandes y con posibilidad de media ración, oara poder probar más platos. Destacar los baos de carrillera, la berenjena en tempura y la brochetas de pollo.Personal muy amable y atento. Con los niños fueron muy simpáticos.Sin duda, un acierto"
2024/6/5,1717538400,business,5.0,Todo satisfactorio,"Comida muy rica, muy bien precio el menú. Calidad estupenda. Buen servicio. bien situado, limpio.Tienen cerveza sin gluten y están pendientes de no contaminación en los platos."
2024/6/5,1717538400,business,5.0,Delicious,Muy bien! Por 12 euros menú fusión muy rico. Tienen cerveza sin gluten daura y se preocupan por que los platos no tengan contaminación. Volveré!
2024/4/10,1712700000,family,4.0,"Bastante variedad de tapas,para mí es lo más destacado","Buenas tapas, la verdad que tienen bastante variedad Pero el menú del día vasin ninguna bebida y el servicio ha sido algo lento"
2024/1/26,1706223600,family,5.0,Excelente,"La comida muy buena, muy abundante. Variedad de tapas y platos.  La atención excelente. Muy recomendable. Si volvemos a Albacete vendremos 😀"
2024/1/24,1706050800,couples,5.0,Muy bien,"Tapas rápido, calidad y bien de precio con una atención buena.Hemos ido varias veces y se ha convertido en un lugar que visitamos una vez por mes."
2023/12/28,1703718000,couples,3.0,Pinchos  de todo tipo,"Un restaurante para tomar unos pinchos al más típico uso norteño, en el que tu mismo te sirves de la gran variedad de pinchos que hay en el mostrador, y todo ello a un precio realmente competitivo, y con una calidad bastante aceptable.  La unica pega por decir algo es que a causa de este motivo la afluencia de clientes es muy alta lo que le resta calidad de servicio. "
2023/8/22,1692655200,friends,3.0,Sitio muy bonito para cenar,"Muy rico todo, hemos ido hoy a cenar y tienen una gran variedad de pinchos, no a ido hasta ahora debido a que somos de portugal y es la primera vez que viajamos a Albacete. El sitio esta muy bueno muy bonita decoracion, los platos muy ricos. Todo a estado muy bien, lo unico que el camarero que nos a atendido a tardado bastante en ponernos las bebidas, nos a puesto mala cara cuando le hemos dicho que le pedimos la bebida 2 veces ya, era simpatico pero poco profesional para el nivel que muestra el establecimiento, su compañera a estado atenta y nos a atendido enseguida. Quitando eso, lo demas todo muy bien un sitio muy bonito para ir a comer o cenar me a gustado mucho. "
2023/8/3,1691013600,couples,4.0,Cena Informal,"Fuimos a cenar en parejas, los platos generosos,  calidad precio bastante bien, el único pero fue un servicio un poco lento, aunque hay que decir que las camareras amables."
2023/4/20,1681941600,none,5.0,Un lugar excelente 👍🏼👍🏼,Hemos ido ya varias veces mi Familia y yo y definitivamente nos encanta la atención y la calidad y variedad de los alimentos. Todo muy muy rico y bien presentado.Totalmente recomendable 100%
